"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Cadillac, MI","15620",2021,363,220,142,1,0,0,0,105,62,45,0,0,109,254,0
"Cambridge, MD","15700",2021,365,287,77,1,0,0,0,105,58,41,0,0,254,111,0
"Canton-Massillon, OH","15940",2021,365,154,208,3,0,0,0,127,74,53,0,0,90,275,0
"Cape Coral-Fort Myers, FL","15980",2021,365,299,66,0,0,0,0,97,54,41,0,0,160,201,4
"Carlsbad-Artesia, NM","16100",2021,365,219,120,25,1,0,0,166,93,47,0,2,357,6,0
"Carson City, NV","16180",2021,365,273,64,9,12,6,1,304,84,42,0,0,266,99,0
"Casper, WY","16220",2021,365,282,77,6,0,0,0,125,71,42,0,2,333,30,0
"Ca¤on City, CO","15860",2021,86,85,1,0,0,0,0,62,28,15,0,0,0,0,86
"Cedar City, UT","16260",2021,365,286,75,3,1,0,0,176,62,40,0,11,268,86,0
"Cedar Rapids, IA","16300",2021,365,160,201,4,0,0,0,123,69,52,0,0,75,290,0
"Centralia, WA","16500",2021,350,328,22,0,0,0,0,71,46,23,0,0,0,350,0
"Chambersburg-Waynesboro, PA","16540",2021,288,274,14,0,0,0,0,77,47,35,0,0,288,0,0
"Champaign-Urbana, IL","16580",2021,365,236,129,0,0,0,0,99,63,44,0,0,143,222,0
"Charleston, WV","16620",2021,365,239,126,0,0,0,0,97,64,44,0,0,116,249,0
"Charleston-North Charleston, SC","16700",2021,365,196,169,0,0,0,0,93,62,49,0,0,57,308,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2021,365,178,184,3,0,0,0,128,72,51,0,0,136,229,0
"Charlottesville, VA","16820",2021,360,261,99,0,0,0,0,97,60,41,0,0,123,237,0
"Chattanooga, TN-GA","16860",2021,351,157,192,2,0,0,0,110,67,52,0,0,76,275,0
"Cheyenne, WY","16940",2021,364,261,92,11,0,0,0,126,77,44,2,2,320,40,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2021,365,67,270,26,2,0,0,175,97,61,0,1,83,255,26
"Chico, CA","17020",2021,365,160,174,18,10,3,0,257,90,53,0,0,177,185,3
"Cincinnati, OH-KY-IN","17140",2021,365,92,265,8,0,0,0,140,80,57,0,4,52,299,10
"Claremont-Lebanon, NH-VT","17200",2021,365,313,51,1,0,0,0,106,53,36,0,0,201,164,0
"Clarksburg, WV","17220",2021,115,82,33,0,0,0,0,69,58,35,0,0,0,115,0
"Clarksville, TN-KY","17300",2021,365,186,178,1,0,0,0,138,69,50,0,0,75,290,0
"Clearlake, CA","17340",2021,356,348,7,0,1,0,0,157,43,33,0,0,335,19,2
"Cleveland, MS","17380",2021,360,236,124,0,0,0,0,90,60,44,0,0,94,266,0
"Cleveland-Elyria, OH","17460",2021,365,96,261,8,0,0,0,122,80,57,0,0,82,277,6
"Clinton, IA","17540",2021,365,134,229,2,0,0,0,112,70,55,0,0,62,303,0
"Coeur d'Alene, ID","17660",2021,357,268,81,3,5,0,0,195,60,31,0,0,0,357,0
"College Station-Bryan, TX","17780",2021,356,248,108,0,0,0,0,85,58,40,0,0,0,356,0
"Colorado Springs, CO","17820",2021,365,224,113,28,0,0,0,140,93,47,0,0,333,32,0
"Columbia, MO","17860",2021,245,233,12,0,0,0,0,77,47,37,0,0,245,0,0
"Columbia, SC","17900",2021,365,196,167,2,0,0,0,102,66,48,0,0,107,258,0
"Columbus, GA-AL","17980",2021,365,205,156,3,1,0,0,155,66,48,0,0,54,311,0
"Columbus, IN","18020",2021,364,252,112,0,0,0,0,93,61,43,0,0,163,201,0
"Columbus, OH","18140",2021,365,170,195,0,0,0,0,100,70,52,0,1,93,271,0
"Concord, NH","18180",2021,214,200,13,1,0,0,0,101,47,36,0,0,214,0,0
"Cookeville, TN","18260",2021,356,268,88,0,0,0,0,91,58,36,0,0,0,356,0
"Corning, NY","18500",2021,365,285,79,1,0,0,0,124,59,38,0,0,187,178,0
"Corpus Christi, TX","18580",2021,364,200,162,2,0,0,0,113,67,47,0,0,127,236,1
"Corsicana, TX","18620",2021,365,266,99,0,0,0,0,100,61,41,0,1,183,181,0
"Corvallis, OR","18700",2021,365,345,20,0,0,0,0,69,45,22,0,0,0,365,0
"Crescent City, CA","18860",2021,323,259,64,0,0,0,0,72,54,31,0,0,0,323,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2021,365,359,6,0,0,0,0,61,44,33,0,0,357,0,8
"Cullowhee, NC","19000",2021,100,75,25,0,0,0,0,73,56,38,0,0,0,100,0
"Dallas-Fort Worth-Arlington, TX","19100",2021,365,128,206,27,3,1,0,209,93,54,0,6,153,206,0
"Dalton, GA","19140",2021,276,240,36,0,0,0,0,87,52,38,0,0,223,53,0
"Danville, VA","19260",2021,335,335,0,0,0,0,0,21,7,3,0,335,0,0,0
"Daphne-Fairhope-Foley, AL","19300",2021,280,248,32,0,0,0,0,63,52,37,0,0,199,81,0
"Davenport-Moline-Rock Island, IA-IL","19340",2021,365,142,220,3,0,0,0,112,70,54,0,0,75,240,50
"Dayton, OH","19380",2021,365,156,208,1,0,0,0,101,71,53,0,0,96,269,0
"Decatur, AL","19460",2021,365,208,157,0,0,0,0,97,63,47,0,0,71,294,0
"Decatur, IL","19500",2021,361,179,179,3,0,0,0,112,67,51,0,0,92,269,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2021,365,224,141,0,0,0,0,77,58,47,0,0,100,265,0
"Deming, NM","19700",2021,362,339,20,2,0,0,1,462,40,19,0,0,0,0,362
"Denver-Aurora-Lakewood, CO","19740",2021,365,88,207,53,17,0,0,177,126,64,0,58,221,68,18
"Des Moines-West Des Moines, IA","19780",2021,365,227,137,1,0,0,0,110,64,45,0,7,115,243,0
"Detroit-Warren-Dearborn, MI","19820",2021,365,85,271,9,0,0,0,140,86,59,0,5,45,307,8
"Dickinson, ND","19860",2021,364,299,60,3,2,0,0,161,67,37,0,0,291,73,0
"Dodge City, KS","19980",2021,358,353,5,0,0,0,0,80,32,17,0,0,0,0,358
"Douglas, GA","20060",2021,116,91,25,0,0,0,0,69,53,35,0,0,0,116,0
"Dover, DE","20100",2021,360,260,98,2,0,0,0,108,58,42,0,0,183,177,0
"DuBois, PA","20180",2021,277,274,3,0,0,0,0,54,44,33,0,0,277,0,0
"Duluth, MN-WI","20260",2021,365,278,76,9,2,0,0,159,67,38,0,2,228,126,9
"Durango, CO","20420",2021,364,239,121,4,0,0,0,140,71,47,1,0,325,38,0
"Durham-Chapel Hill, NC","20500",2021,365,159,205,0,1,0,0,175,65,52,0,0,82,283,0
"Dyersburg, TN","20540",2021,350,242,107,1,0,0,0,105,60,39,0,0,0,350,0
"Eagle Pass, TX","20580",2021,353,239,114,0,0,0,0,88,61,37,0,0,0,353,0
"East Stroudsburg, PA","20700",2021,233,214,19,0,0,0,0,84,49,35,0,0,233,0,0
"Eau Claire, WI","20740",2021,362,212,145,4,1,0,0,154,67,44,0,0,98,263,1
"Effingham, IL","20820",2021,237,226,11,0,0,0,0,77,46,37,0,0,237,0,0
"El Centro, CA","20940",2021,365,84,252,22,4,1,2,436,97,60,0,0,134,126,105
"El Dorado, AR","20980",2021,116,66,50,0,0,0,0,74,60,48,0,0,0,116,0
"El Paso, TX","21340",2021,365,91,255,19,0,0,0,150,84,59,0,7,141,207,10
"Elizabethtown-Fort Knox, KY","21060",2021,364,238,125,1,0,0,0,101,62,43,0,0,117,247,0
"Elkhart-Goshen, IN","21140",2021,365,214,151,0,0,0,0,87,62,45,0,0,139,226,0
"Elko, NV","21220",2021,365,282,73,9,1,0,0,156,71,42,0,0,186,13,166
"Ellensburg, WA","21260",2021,365,303,57,3,2,0,0,173,55,28,0,0,0,365,0
"Emporia, KS","21380",2021,120,102,18,0,0,0,0,99,52,27,0,0,0,120,0
"Erie, PA","21500",2021,329,255,74,0,0,0,0,92,57,38,2,18,137,163,9
"Espa¤ola, NM","21580",2021,363,276,86,1,0,0,0,143,64,44,0,0,360,3,0
"Eugene, OR","21660",2021,365,214,131,6,13,1,0,230,74,44,0,0,75,289,1
"Eureka-Arcata-Fortuna, CA","21700",2021,365,333,32,0,0,0,0,64,48,29,12,0,219,78,56
"Evanston, WY","21740",2021,364,361,3,0,0,0,0,60,25,7,0,0,0,0,364
"Evansville, IN-KY","21780",2021,365,176,187,2,0,0,0,109,69,51,0,0,86,279,0
"Fairbanks, AK","21820",2021,365,211,120,21,13,0,0,189,97,42,0,0,66,298,1
"Fairmont, WV","21900",2021,91,61,30,0,0,0,0,82,58,40,0,0,0,91,0
"Fallon, NV","21980",2021,362,271,81,9,1,0,0,159,74,44,0,0,362,0,0
"Fargo, ND-MN","22020",2021,363,227,119,8,8,1,0,211,74,42,0,0,132,231,0
"Farmington, NM","22140",2021,365,237,120,8,0,0,0,126,77,46,0,1,360,0,4
"Fayetteville, NC","22180",2021,365,227,137,1,0,0,0,107,64,44,0,0,124,241,0
"Fayetteville-Springdale-Rogers, AR-MO","22220",2021,365,206,158,1,0,0,0,119,66,48,0,0,101,264,0
"Fernley, NV","22280",2021,270,196,67,7,0,0,0,133,74,41,0,0,270,0,0
"Flagstaff, AZ","22380",2021,365,265,100,0,0,0,0,93,64,46,0,0,356,9,0
"Flint, MI","22420",2021,365,247,115,3,0,0,0,119,61,41,0,0,165,200,0
"Florence, SC","22500",2021,350,260,90,0,0,0,0,86,59,41,0,0,107,243,0
"Fond du Lac, WI","22540",2021,208,178,30,0,0,0,0,90,54,39,0,0,208,0,0
"Fort Collins, CO","22660",2021,365,164,151,46,4,0,0,159,112,54,0,0,298,67,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2021,101,63,38,0,0,0,0,73,63,42,0,0,0,101,0
"Fort Payne, AL","22840",2021,361,315,46,0,0,0,0,84,53,37,0,0,298,63,0
"Fort Smith, AR-OK","22900",2021,360,250,108,2,0,0,0,122,59,41,0,0,125,235,0
"Fort Wayne, IN","23060",2021,365,190,175,0,0,0,0,100,66,49,0,0,104,261,0
"Fresno, CA","23420",2021,365,62,221,63,17,2,0,278,130,68,0,0,146,209,10
"Gadsden, AL","23460",2021,286,235,51,0,0,0,0,80,57,38,0,0,201,85,0
"Gainesville, FL","23540",2021,364,308,56,0,0,0,0,84,52,39,0,0,129,235,0
"Gainesville, GA","23580",2021,365,209,156,0,0,0,0,83,62,46,0,0,0,365,0
"Gardnerville Ranchos, NV","23820",2021,365,279,53,7,20,6,0,279,91,24,0,0,0,365,0
"Gettysburg, PA","23900",2021,364,206,155,3,0,0,0,129,67,47,0,0,145,219,0
"Gillette, WY","23940",2021,365,218,131,16,0,0,0,143,87,44,0,0,184,29,152
"Glenwood Springs, CO","24060",2021,365,198,156,10,1,0,0,158,87,49,0,0,356,8,1
"Grand Island, NE","24260",2021,357,268,87,2,0,0,0,134,58,34,0,0,0,357,0
"Grand Junction, CO","24300",2021,365,247,116,2,0,0,0,139,65,46,0,0,271,94,0
"Grand Rapids-Wyoming, MI","24340",2021,365,176,184,5,0,0,0,143,73,51,0,3,119,243,0
"Grants Pass, OR","24420",2021,365,240,106,10,9,0,0,188,75,36,0,0,0,365,0
"Great Falls, MT","24500",2021,365,296,58,9,2,0,0,160,62,27,0,0,0,365,0
"Greeley, CO","24540",2021,365,156,169,39,1,0,0,154,101,54,0,0,259,106,0
"Green Bay, WI","24580",2021,365,225,135,5,0,0,0,125,69,43,0,0,136,229,0
"Greenfield Town, MA","24640",2021,365,228,137,0,0,0,0,99,60,44,0,0,101,264,0
"Greensboro-High Point, NC","24660",2021,365,241,124,0,0,0,0,100,63,44,0,0,162,201,2
"Greenville, NC","24780",2021,360,288,72,0,0,0,0,81,55,39,0,0,137,223,0
"Greenville-Anderson-Mauldin, SC","24860",2021,365,180,184,1,0,0,0,101,70,51,0,3,117,245,0
"Guayama, PR","25020",2021,54,39,15,0,0,0,0,77,65,28,0,0,0,53,1
"Gulfport-Biloxi-Pascagoula, MS","25060",2021,360,195,165,0,0,0,0,97,62,49,0,0,67,293,0
"Hagerstown-Martinsburg, MD-WV","25180",2021,361,236,124,1,0,0,0,115,65,44,0,0,151,210,0
"Hailey, ID","25200",2021,350,288,52,10,0,0,0,144,66,23,0,0,0,350,0
"Hammond, LA","25220",2021,110,81,29,0,0,0,0,65,58,39,0,0,0,110,0
"Hanford-Corcoran, CA","25260",2021,365,84,230,40,10,0,1,685,109,64,0,0,119,168,78
"Harrisburg-Carlisle, PA","25420",2021,365,157,206,2,0,0,0,127,71,52,0,0,75,290,0
"Harrison, AR","25460",2021,365,340,25,0,0,0,0,74,48,37,0,0,330,35,0
"Harrisonburg, VA","25500",2021,363,316,47,0,0,0,0,87,52,36,0,92,210,61,0
"Hartford-West Hartford-East Hartford, CT","25540",2021,365,243,107,14,1,0,0,151,70,43,0,12,164,189,0
"Hattiesburg, MS","25620",2021,363,178,185,0,0,0,0,93,60,51,0,0,0,363,0
"Helena, MT","25740",2021,365,249,99,14,3,0,0,156,77,44,0,0,218,147,0
"Hermiston-Pendleton, OR","25840",2021,365,265,92,6,2,0,0,169,64,38,0,0,114,251,0
"Hickory-Lenoir-Morganton, NC","25860",2021,360,209,151,0,0,0,0,94,62,47,0,0,106,254,0
"Hilo, HI","25900",2021,365,336,29,0,0,0,0,65,48,27,0,0,0,365,0
"Hobbs, NM","26020",2021,365,257,105,2,1,0,0,151,64,44,0,2,264,99,0
"Holland, MI","26090",2021,361,245,107,9,0,0,0,136,64,42,0,0,176,185,0
"Homosassa Springs, FL","26140",2021,360,236,124,0,0,0,0,83,56,44,0,0,0,360,0
"Hot Springs, AR","26300",2021,120,71,49,0,0,0,0,80,60,45,0,0,0,120,0
"Houghton, MI","26340",2021,117,109,8,0,0,0,0,67,41,14,0,0,0,117,0
"Houma-Thibodaux, LA","26380",2021,349,200,149,0,0,0,0,84,60,46,0,0,99,250,0
"Houston-The Woodlands-Sugar Land, TX","26420",2021,365,60,275,21,9,0,0,179,97,59,0,1,92,263,9
"Huntington-Ashland, WV-KY-OH","26580",2021,365,200,164,1,0,0,0,102,64,47,0,0,81,284,0
"Huntsville, AL","26620",2021,357,189,166,2,0,0,0,105,62,49,0,0,59,285,13
"Idaho Falls, ID","26820",2021,365,265,90,10,0,0,0,144,77,44,0,0,271,94,0
"Indiana, PA","26860",2021,348,218,128,2,0,0,0,122,63,44,0,0,103,245,0
"Indianapolis-Carmel-Anderson, IN","26900",2021,365,80,278,7,0,0,0,114,82,58,0,2,46,317,0
"Iowa City, IA","26980",2021,364,172,190,2,0,0,0,121,67,52,0,0,0,364,0
"Ithaca, NY","27060",2021,360,334,25,1,0,0,0,105,48,35,0,0,360,0,0
"Jackson, MS","27140",2021,365,144,221,0,0,0,0,88,64,52,0,0,30,335,0
"Jackson, TN","27180",2021,356,249,106,1,0,0,0,106,60,38,0,0,0,356,0
"Jackson, WY-ID","27220",2021,365,277,78,10,0,0,0,131,72,44,0,0,318,45,2
"Jacksonville, FL","27260",2021,365,135,230,0,0,0,0,94,63,53,0,0,44,321,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2021,361,300,60,1,0,0,0,105,57,38,0,0,318,43,0
"Janesville-Beloit, WI","27500",2021,205,173,32,0,0,0,0,100,61,41,0,0,205,0,0
"Jasper, IN","27540",2021,125,77,48,0,0,0,0,94,64,43,0,0,0,119,6
"Jefferson City, MO","27620",2021,245,229,16,0,0,0,0,80,47,39,0,0,245,0,0
"Johnstown, PA","27780",2021,353,169,183,1,0,0,0,130,65,51,3,0,63,287,0
"Joplin, MO","27900",2021,360,298,62,0,0,0,0,93,58,38,0,0,218,0,142
"Juneau, AK","27940",2021,357,315,42,0,0,0,0,89,53,20,0,0,0,353,4
"Kahului-Wailuku-Lahaina, HI","27980",2021,363,361,2,0,0,0,0,63,31,21,0,0,0,363,0
"Kalamazoo-Portage, MI","28020",2021,349,177,172,0,0,0,0,100,70,50,0,0,72,277,0
"Kalispell, MT","28060",2021,365,268,88,8,1,0,0,155,66,39,0,0,181,144,40
"Kansas City, MO-KS","28140",2021,365,113,239,13,0,0,0,147,77,55,0,0,83,252,30
"Kapaa, HI","28180",2021,364,364,0,0,0,0,0,47,29,17,0,35,0,329,0
"Keene, NH","28300",2021,364,263,100,1,0,0,0,127,59,40,0,0,127,237,0
"Kennewick-Richland, WA","28420",2021,365,278,78,6,3,0,0,180,64,39,0,0,123,199,43
"Killeen-Temple, TX","28660",2021,365,240,122,3,0,0,0,122,69,44,0,0,230,135,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2021,365,261,104,0,0,0,0,100,59,42,0,0,149,216,0
"Kingsville, TX","28780",2021,348,185,162,1,0,0,0,109,68,48,0,0,0,348,0
"Kinston, NC","28820",2021,306,284,22,0,0,0,0,97,49,34,0,0,241,0,65
"Klamath Falls, OR","28900",2021,365,162,153,19,25,6,0,237,134,54,0,0,0,365,0
"Knoxville, TN","28940",2021,365,146,213,6,0,0,0,150,71,53,0,0,91,274,0
"Kokomo, IN","29020",2021,361,227,132,2,0,0,0,105,62,44,0,0,164,197,0
"La Crosse-Onalaska, WI-MN","29100",2021,365,240,124,1,0,0,0,110,64,43,0,0,115,250,0
"La Grande, OR","29260",2021,360,304,49,5,2,0,0,170,61,27,0,0,0,358,2
"Laconia, NH","29060",2021,365,340,24,1,0,0,0,110,47,31,0,0,160,205,0
"Lafayette, LA","29180",2021,365,239,126,0,0,0,0,87,61,43,0,0,160,205,0
"Lafayette-West Lafayette, IN","29200",2021,365,214,150,1,0,0,0,105,63,46,0,0,139,226,0
"Lake Charles, LA","29340",2021,365,171,193,0,1,0,0,156,65,51,0,2,78,285,0
"Lake City, FL","29380",2021,364,236,128,0,0,0,0,77,56,44,0,0,86,278,0
"Lake Havasu City-Kingman, AZ","29420",2021,363,360,2,0,1,0,0,156,34,19,0,0,0,2,361
"Lakeland-Winter Haven, FL","29460",2021,365,232,133,0,0,0,0,84,58,45,0,0,94,271,0
"Lancaster, PA","29540",2021,365,100,257,7,1,0,0,156,82,56,0,0,60,303,2
"Lansing-East Lansing, MI","29620",2021,365,205,160,0,0,0,0,100,68,46,0,1,112,252,0
"Laramie, WY","29660",2021,365,193,158,13,0,0,1,312,84,50,0,3,277,18,67
"Laredo, TX","29700",2021,365,197,168,0,0,0,0,97,69,48,0,0,60,303,2
"Las Cruces, NM","29740",2021,365,126,208,20,8,1,2,683,94,56,0,7,196,63,99
"Las Vegas-Henderson-Paradise, NV","29820",2021,365,87,244,31,3,0,0,183,100,62,0,1,214,133,17
"Lawrenceburg, TN","29980",2021,357,274,83,0,0,0,0,98,57,34,0,0,0,357,0
"Lawton, OK","30020",2021,364,223,139,2,0,0,0,124,63,47,0,0,145,219,0
"Lebanon, PA","30140",2021,365,197,166,2,0,0,0,117,69,49,0,0,92,273,0
"Lewiston, ID-WA","30300",2021,365,201,145,14,4,1,0,233,82,46,0,0,0,365,0
"Lewiston-Auburn, ME","30340",2021,356,303,53,0,0,0,0,95,53,36,0,0,113,239,4
"Lexington-Fayette, KY","30460",2021,363,214,147,2,0,0,0,108,66,47,0,16,79,267,1
"Lima, OH","30620",2021,365,260,105,0,0,0,0,87,61,42,0,0,178,187,0
"Lincoln, NE","30700",2021,276,246,30,0,0,0,0,84,53,37,0,0,201,75,0
"Little Rock-North Little Rock-Conway, AR","30780",2021,365,114,249,2,0,0,0,112,73,54,0,2,36,327,0
"Logan, UT-ID","30860",2021,365,210,144,11,0,0,0,129,82,46,0,0,228,125,12
"Longview, TX","30980",2021,365,336,29,0,0,0,0,93,48,33,0,7,358,0,0
"Longview, WA","31020",2021,365,355,10,0,0,0,0,64,38,21,0,0,0,365,0
"Los Alamos, NM","31060",2021,119,115,3,1,0,0,0,109,34,14,0,0,0,119,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2021,365,9,258,71,26,1,0,281,143,80,0,13,148,198,6
"Louisville/Jefferson County, KY-IN","31140",2021,365,133,225,7,0,0,0,143,77,54,0,0,72,293,0
"Lubbock, TX","31180",2021,347,278,69,0,0,0,0,85,55,31,0,0,0,347,0
"Ludington, MI","31220",2021,243,206,34,3,0,0,0,115,54,38,0,0,243,0,0
"Lynchburg, VA","31340",2021,119,98,21,0,0,0,0,92,55,32,0,0,0,119,0
"Macon, GA","31420",2021,365,198,165,2,0,0,0,131,66,48,0,0,47,318,0
"Madera, CA","31460",2021,365,133,197,28,7,0,0,194,100,58,0,0,210,131,24
"Madison, WI","31540",2021,365,197,167,1,0,0,0,101,69,48,0,0,101,264,0
"Manchester-Nashua, NH","31700",2021,365,328,35,2,0,0,0,144,51,37,0,0,317,48,0
"Manitowoc, WI","31820",2021,207,174,30,3,0,0,0,119,64,39,0,0,207,0,0
"Marietta, OH","31930",2021,245,222,23,0,0,0,0,87,50,39,0,0,245,0,0
"Marshall, MN","32140",2021,359,263,91,3,2,0,0,187,64,39,0,0,159,200,0
"Marshall, TX","32220",2021,362,205,153,3,1,0,0,161,64,47,0,0,89,273,0
