"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2021,356,301,52,0,2,1,0,208,58,26,0,0,0,210,146
"Aberdeen, WA","10140",2021,365,347,18,0,0,0,0,82,42,26,0,0,0,365,0
"Adjuntas, PR","10260",2021,7,7,0,0,0,0,0,23,23,14,0,0,0,7,0
"Adrian, MI","10300",2021,322,188,134,0,0,0,0,93,64,46,0,0,112,210,0
"Akron, OH","10420",2021,356,221,132,3,0,0,0,108,68,45,0,0,134,222,0
"Albany, GA","10500",2021,352,166,182,4,0,0,0,133,69,51,0,0,0,352,0
"Albany, OR","10540",2021,365,268,96,1,0,0,0,136,61,34,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2021,365,251,112,2,0,0,0,118,60,40,0,0,158,207,0
"Albuquerque, NM","10740",2021,365,60,284,19,2,0,0,171,92,64,0,0,151,116,98
"Alexandria, LA","10780",2021,122,96,26,0,0,0,0,66,55,38,0,0,0,122,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2021,365,182,179,3,1,0,0,154,71,51,0,3,115,247,0
"Altoona, PA","11020",2021,336,206,128,2,0,0,0,120,64,45,0,0,79,257,0
"Amarillo, TX","11100",2021,364,262,99,3,0,0,0,119,64,44,0,0,290,74,0
"Americus, GA","11140",2021,245,228,17,0,0,0,0,74,49,35,0,0,245,0,0
"Anchorage, AK","11260",2021,365,270,91,3,1,0,0,163,61,31,0,0,0,287,78
"Ann Arbor, MI","11460",2021,365,212,153,0,0,0,0,100,65,46,0,0,150,215,0
"Appleton, WI","11540",2021,363,226,134,3,0,0,0,139,66,44,0,0,100,263,0
"Ardmore, OK","11620",2021,346,196,140,10,0,0,0,136,68,49,0,0,155,191,0
"Arkadelphia, AR","11660",2021,338,328,10,0,0,0,0,90,45,32,0,0,338,0,0
"Asheville, NC","11700",2021,365,260,105,0,0,0,0,93,61,44,0,0,163,202,0
"Ashtabula, OH","11780",2021,243,213,28,2,0,0,0,112,58,38,0,0,243,0,0
"Athens, OH","11900",2021,113,91,22,0,0,0,0,77,55,27,0,0,0,113,0
"Athens, TN","11940",2021,360,250,110,0,0,0,0,90,59,37,0,0,0,360,0
"Athens-Clarke County, GA","12020",2021,365,195,169,1,0,0,0,107,65,49,0,0,61,304,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2021,365,138,219,8,0,0,0,150,77,54,0,2,78,285,0
"Atlantic City-Hammonton, NJ","12100",2021,362,290,72,0,0,0,0,96,56,37,0,0,202,160,0
"Augusta-Richmond County, GA-SC","12260",2021,365,158,200,7,0,0,0,145,71,52,0,0,61,304,0
"Augusta-Waterville, ME","12300",2021,244,226,17,1,0,0,0,125,47,33,0,0,205,37,2
"Austin-Round Rock, TX","12420",2021,365,182,182,1,0,0,0,101,67,51,0,3,111,248,3
"Bakersfield, CA","12540",2021,365,35,202,97,29,1,1,314,147,84,0,0,151,199,15
"Baltimore-Columbia-Towson, MD","12580",2021,365,169,181,15,0,0,0,140,78,52,0,10,152,203,0
"Bangor, ME","12620",2021,362,326,36,0,0,0,0,100,50,33,0,0,194,166,2
"Baraboo, WI","12660",2021,365,236,129,0,0,0,0,96,65,44,0,0,110,255,0
"Barnstable Town, MA","12700",2021,359,331,25,3,0,0,0,126,49,36,0,0,346,13,0
"Bartlesville, OK","12780",2021,345,168,170,7,0,0,0,139,67,51,0,0,128,217,0
"Baton Rouge, LA","12940",2021,365,139,221,4,1,0,0,159,67,53,0,0,81,284,0
"Bay City, MI","13020",2021,363,290,73,0,0,0,0,86,56,28,0,0,0,363,0
"Beatrice, NE","13100",2021,184,49,134,1,0,0,0,115,66,55,0,0,0,184,0
"Beaumont-Port Arthur, TX","13140",2021,365,221,141,3,0,0,0,115,62,45,0,1,127,237,0
"Beaver Dam, WI","13180",2021,365,216,149,0,0,0,0,99,68,46,0,0,171,194,0
"Bellingham, WA","13380",2021,332,323,7,2,0,0,0,129,42,28,0,0,155,177,0
"Bemidji, MN","13420",2021,341,281,51,5,2,2,0,283,61,29,0,0,0,341,0
"Bend-Redmond, OR","13460",2021,365,298,47,10,7,2,1,403,61,25,0,0,0,365,0
"Bennington, VT","13540",2021,365,307,57,1,0,0,0,115,55,37,0,0,221,144,0
"Berlin, NH-VT","13620",2021,360,325,33,2,0,0,0,133,50,42,0,0,355,5,0
"Billings, MT","13740",2021,340,212,118,9,1,0,0,167,70,40,0,0,0,340,0
"Birmingham-Hoover, AL","13820",2021,365,104,256,3,2,0,0,189,77,56,0,1,47,317,0
"Bishop, CA","13860",2021,365,100,223,24,12,3,3,558,115,61,0,0,152,185,28
"Bismarck, ND","13900",2021,365,234,112,11,8,0,0,183,76,43,0,0,166,196,3
"Blacksburg-Christiansburg-Radford, VA","13980",2021,358,331,27,0,0,0,0,74,49,38,0,0,358,0,0
"Bloomington, IL","14010",2021,365,191,173,1,0,0,0,107,63,48,0,0,89,276,0
"Bloomington, IN","14020",2021,365,220,145,0,0,0,0,100,64,44,0,0,136,229,0
"Boise City, ID","14260",2021,365,131,214,16,4,0,0,173,82,54,0,0,113,248,4
"Boston-Cambridge-Newton, MA-NH","14460",2021,365,206,154,4,1,0,0,153,64,48,0,4,95,265,1
"Boulder, CO","14500",2021,365,154,176,32,3,0,0,160,100,52,0,0,228,136,1
"Bowling Green, KY","14540",2021,365,218,145,2,0,0,0,117,65,45,0,0,108,257,0
"Bozeman, MT","14580",2021,365,243,107,14,1,0,0,158,78,41,2,5,0,358,0
"Brainerd, MN","14660",2021,365,110,243,7,3,2,0,275,72,54,0,0,18,347,0
"Branson, MO","14700",2021,118,102,16,0,0,0,0,86,53,27,0,0,0,118,0
"Bremerton-Silverdale, WA","14740",2021,359,342,16,1,0,0,0,113,44,26,0,0,0,359,0
"Bridgeport-Stamford-Norwalk, CT","14860",2021,363,225,119,13,6,0,0,185,74,46,0,9,133,221,0
"Brookings, SD","15100",2021,365,270,87,6,1,1,0,236,67,39,0,0,236,103,26
"Brownsville-Harlingen, TX","15180",2021,365,162,203,0,0,0,0,99,70,52,0,0,67,298,0
"Brunswick, GA","15260",2021,322,267,55,0,0,0,0,80,54,38,0,0,185,137,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2021,365,223,140,2,0,0,0,108,64,46,0,1,123,241,0
"Burlington-South Burlington, VT","15540",2021,365,288,76,1,0,0,0,129,57,40,0,0,175,190,0
"Butte-Silver Bow, MT","15580",2021,365,256,89,14,6,0,0,163,80,33,0,0,0,325,40
