"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Kinston, NC","28820",2022,241,217,23,1,0,0,0,108,50,39,0,0,241,0,0
"Klamath Falls, OR","28900",2022,365,222,139,2,2,0,0,163,70,38,0,0,0,365,0
"Knoxville, TN","28940",2022,365,167,196,1,1,0,0,162,66,52,0,0,126,239,0
"Kokomo, IN","29020",2022,364,246,114,4,0,0,0,108,63,44,0,0,206,158,0
"La Crosse-Onalaska, WI-MN","29100",2022,365,271,94,0,0,0,0,85,57,41,0,0,115,250,0
"La Grande, OR","29260",2022,361,283,74,4,0,0,0,130,57,28,0,0,0,360,1
"Laconia, NH","29060",2022,358,339,19,0,0,0,0,68,46,32,0,0,182,176,0
"Lafayette, LA","29180",2022,365,207,156,2,0,0,0,103,64,47,0,0,151,214,0
"Lafayette-West Lafayette, IN","29200",2022,365,266,99,0,0,0,0,96,58,41,0,0,175,190,0
"Lake Charles, LA","29340",2022,365,167,198,0,0,0,0,100,67,52,0,0,87,275,3
"Lake City, FL","29380",2022,363,234,129,0,0,0,0,91,60,45,0,0,101,262,0
"Lake Havasu City-Kingman, AZ","29420",2022,357,340,16,1,0,0,0,115,32,17,0,0,0,0,357
"Lakeland-Winter Haven, FL","29460",2022,363,264,99,0,0,0,0,87,56,44,0,0,141,222,0
"Lancaster, PA","29540",2022,365,84,274,6,1,0,0,153,80,59,0,0,26,339,0
"Lansing-East Lansing, MI","29620",2022,365,236,129,0,0,0,0,93,62,44,0,3,157,205,0
"Laramie, WY","29660",2022,365,225,136,2,2,0,0,159,67,48,0,16,275,5,69
"Laredo, TX","29700",2022,361,215,144,2,0,0,0,114,69,45,0,0,27,329,5
"Las Cruces, NM","29740",2022,365,157,179,24,1,2,2,367,93,53,0,16,203,76,70
"Las Vegas-Henderson-Paradise, NV","29820",2022,365,71,268,20,3,1,2,480,97,64,0,3,194,138,30
"Lawrenceburg, TN","29980",2022,351,306,45,0,0,0,0,82,53,26,0,0,0,351,0
"Lawton, OK","30020",2022,353,205,146,2,0,0,0,126,71,47,0,0,177,176,0
"Lebanon, PA","30140",2022,364,224,138,2,0,0,0,108,62,46,0,0,92,272,0
"Lewiston, ID-WA","30300",2022,365,196,162,3,4,0,0,200,72,47,0,0,0,365,0
"Lewiston-Auburn, ME","30340",2022,358,327,31,0,0,0,0,97,48,32,0,0,197,159,2
"Lexington-Fayette, KY","30460",2022,365,233,131,1,0,0,0,106,60,44,0,1,147,217,0
"Lima, OH","30620",2022,365,272,93,0,0,0,0,97,59,41,0,0,191,174,0
"Lincoln, NE","30700",2022,277,258,19,0,0,0,0,64,47,37,0,0,209,68,0
"Little Rock-North Little Rock-Conway, AR","30780",2022,365,153,211,1,0,0,0,115,67,52,0,0,68,297,0
"Logan, UT-ID","30860",2022,365,222,136,6,1,0,0,155,71,46,0,0,208,157,0
"Longview, TX","30980",2022,365,329,35,1,0,0,0,143,50,35,0,2,363,0,0
"Longview, WA","31020",2022,363,316,45,2,0,0,0,144,54,21,0,0,0,363,0
"Los Alamos, NM","31060",2022,118,112,5,1,0,0,0,103,39,14,0,0,0,118,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2022,365,17,254,64,29,1,0,209,140,74,0,18,173,164,10
"Louisville/Jefferson County, KY-IN","31140",2022,365,136,221,8,0,0,0,136,74,54,0,4,84,277,0
"Lubbock, TX","31180",2022,347,300,45,2,0,0,0,138,54,26,0,0,0,347,0
"Ludington, MI","31220",2022,236,219,15,1,1,0,0,161,49,36,0,0,236,0,0
"Lynchburg, VA","31340",2022,116,97,19,0,0,0,0,60,52,29,0,0,0,116,0
"Macon, GA","31420",2022,365,216,149,0,0,0,0,91,60,46,0,0,58,307,0
"Madera, CA","31460",2022,365,147,205,13,0,0,0,136,87,54,0,0,212,129,24
"Madison, WI","31540",2022,365,235,130,0,0,0,0,91,62,45,0,0,98,266,1
"Manchester-Nashua, NH","31700",2022,365,329,36,0,0,0,0,100,50,39,2,0,337,26,0
"Manitowoc, WI","31820",2022,198,167,25,4,2,0,0,182,71,38,0,0,198,0,0
"Marietta, OH","31930",2022,245,222,23,0,0,0,0,84,50,39,0,0,245,0,0
"Marshall, MN","32140",2022,356,303,51,0,2,0,0,172,54,38,0,0,180,176,0
"Marshall, TX","32220",2022,328,164,159,4,1,0,0,181,64,51,0,1,110,217,0
"Mason City, IA","32380",2022,117,116,1,0,0,0,0,61,31,17,0,0,0,0,117
"Mayaguez, PR","32420",2022,321,235,81,4,1,0,0,155,59,38,0,0,65,256,0
"McAlester, OK","32540",2022,348,208,136,4,0,0,0,139,63,47,0,0,131,217,0
"McAllen-Edinburg-Mission, TX","32580",2022,365,197,165,3,0,0,0,136,70,49,0,0,103,262,0
"Medford, OR","32780",2022,365,211,146,5,3,0,0,165,69,44,0,0,108,257,0
"Memphis, TN-MS-AR","32820",2022,365,164,188,10,3,0,0,159,72,52,0,2,116,247,0
"Merced, CA","32900",2022,365,140,212,13,0,0,0,143,87,56,0,0,195,141,29
"Meridian, MS","32940",2022,240,230,10,0,0,0,0,77,47,36,0,0,240,0,0
"Miami, OK","33060",2022,365,151,203,6,4,1,0,238,74,53,0,0,101,262,2
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2022,365,176,187,2,0,0,0,136,62,51,0,5,56,304,0
"Michigan City-La Porte, IN","33140",2022,365,302,60,3,0,0,0,133,57,36,0,0,300,65,0
"Middlesborough, KY","33180",2022,365,197,168,0,0,0,0,91,64,48,0,0,78,287,0
"Milwaukee-Waukesha-West Allis, WI","33340",2022,365,182,177,5,1,0,0,159,71,51,0,1,125,234,5
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2022,365,206,159,0,0,0,0,96,65,48,0,3,142,201,19
"Minot, ND","33500",2022,359,315,44,0,0,0,0,79,52,37,0,0,213,146,0
"Missoula, MT","33540",2022,365,149,201,11,4,0,0,190,81,54,0,0,87,278,0
"Mobile, AL","33660",2022,363,235,128,0,0,0,0,93,58,44,0,0,99,264,0
"Modesto, CA","33700",2022,365,108,234,22,1,0,0,166,95,57,0,0,128,218,19
"Monroe, LA","33740",2022,359,309,49,1,0,0,0,105,53,38,0,0,298,61,0
"Monroe, MI","33780",2022,61,51,8,1,0,0,1,607,59,26,0,0,0,0,61
"Montgomery, AL","33860",2022,365,270,95,0,0,0,0,96,58,41,0,0,170,195,0
"Morehead City, NC","33980",2022,359,346,13,0,0,0,0,77,46,35,0,0,359,0,0
"Morgantown, WV","34060",2022,280,250,30,0,0,0,0,77,51,37,0,0,213,67,0
"Morristown, TN","34100",2022,244,219,25,0,0,0,0,87,51,41,0,0,244,0,0
"Moscow, ID","34140",2022,361,312,44,1,4,0,0,192,53,13,0,0,0,361,0
"Moses Lake, WA","34180",2022,365,279,83,0,3,0,0,165,59,30,0,0,0,365,0
"Mount Vernon, IL","34500",2022,365,227,138,0,0,0,0,88,61,45,0,0,120,245,0
